player_name,team_abbreviation,age,player_height,player_weight,college,country,draft_year,draft_round,draft_number,gp,pts,reb,ast,net_rating,oreb_pct,dreb_pct,usg_pct,ts_pct,ast_pct,season
Zaccharie Risacher,ATL,19,203.0,93.0,,France,2024,1,1,65,13.5,4.2,1.8,-2.0,0.05,0.16,0.185,0.56,0.115,2024-25
Alexandre Sarr,WAS,19,216.0,100.0,,France,2024,1,2,62,10.2,5.8,1.5,-5.0,0.075,0.215,0.175,0.54,0.095,2024-25
Tidjane Salaun,CHA,19,206.0,95.0,,France,2024,1,6,58,6.8,3.1,1.2,-6.0,0.04,0.15,0.15,0.51,0.09,2024-25
Pacome Dadiet,NYK,20,201.0,91.0,,France,2024,1,25,45,4.5,2.1,0.8,-3.0,0.035,0.13,0.12,0.53,0.075,2024-25
Yves Missi,NOP,20,213.0,104.0,,France,2024,1,17,60,7.5,7.8,0.9,2.0,0.11,0.275,0.145,0.61,0.06,2024-25
Victor Wembanyama,SAS,20,224.0,95.0,,France,2023,1,1,55,24.5,10.8,4.0,4.0,0.095,0.275,0.29,0.6,0.195,2024-25
Bilal Coulibaly,WAS,20,200.0,88.0,,France,2023,1,7,60,11.2,4.5,2.5,-3.0,0.055,0.195,0.195,0.575,0.155,2024-25
Rudy Gobert,MIN,32,216.0,135.0,,France,2013,2,27,70,13.5,12.5,1.4,3.5,0.11,0.31,0.175,0.705,0.07,2024-25
Sidy Cissoko,SAS,20,200.0,91.0,,France,2023,2,44,35,3.5,1.5,0.7,-5.0,0.04,0.14,0.135,0.51,0.085,2024-25
Rayan Rupert,POR,20,200.0,88.0,,France,2023,2,43,40,5.5,2.5,0.9,-4.0,0.045,0.165,0.155,0.545,0.1,2024-25
Matas Buzelis,CHI,20,206.0,91.0,,Lithuania,2024,1,7,68,11.5,5.2,1.8,-1.0,0.055,0.195,0.185,0.545,0.11,2024-25
Nikola Jokic,DEN,29,213.0,128.0,,Serbia,2014,2,41,75,29.6,13.0,10.2,10.0,0.12,0.31,0.285,0.645,0.47,2024-25
Nikola Topic,OKC,19,198.0,91.0,,Serbia,2024,1,12,15,4.2,2.5,3.5,1.0,0.03,0.12,0.175,0.53,0.265,2024-25
Bogdan Bogdanovic,ATL,32,196.0,98.0,,Serbia,2014,1,27,55,11.5,3.2,3.5,1.5,0.025,0.12,0.2,0.575,0.205,2024-25
Luka Doncic,DAL,25,201.0,104.0,,Slovenia,2018,1,3,50,28.5,8.5,7.8,3.5,0.05,0.2,0.33,0.575,0.345,2024-25
Giannis Antetokounmpo,MIL,30,211.0,110.0,,Greece,2013,1,15,70,31.0,11.8,5.9,7.0,0.105,0.27,0.315,0.645,0.265,2024-25
Franz Wagner,ORL,23,206.0,97.0,,Germany,2021,1,8,72,24.0,5.8,3.8,5.0,0.055,0.195,0.255,0.595,0.19,2024-25
Dennis Schroder,TOR,31,185.0,79.0,,Germany,2013,1,17,65,13.5,3.0,5.5,0.5,0.025,0.1,0.205,0.535,0.305,2024-25
Isaiah Hartenstein,OKC,26,213.0,113.0,,Germany,2017,2,43,70,8.5,8.2,3.0,5.0,0.09,0.23,0.135,0.635,0.185,2024-25
Shai Gilgeous-Alexander,OKC,26,198.0,88.0,,Canada,2018,1,11,67,32.7,5.0,6.0,8.5,0.035,0.18,0.325,0.645,0.28,2024-25
RJ Barrett,TOR,24,196.0,100.0,,Canada,2019,1,3,65,23.5,6.8,4.2,1.0,0.055,0.215,0.28,0.57,0.195,2024-25
Dillon Brooks,HOU,28,196.0,100.0,,Canada,2017,2,45,70,13.2,3.5,2.0,-2.5,0.03,0.14,0.2,0.505,0.12,2024-25
Zach Edey,MEM,22,224.0,127.0,,Canada,2024,1,9,52,8.5,7.5,0.8,-1.0,0.11,0.28,0.165,0.565,0.05,2024-25
Josh Giddey,CHI,22,203.0,93.0,,Australia,2021,1,6,65,14.5,6.8,5.5,-1.5,0.065,0.21,0.205,0.51,0.29,2024-25
Dyson Daniels,ATL,22,196.0,88.0,,Australia,2022,1,8,70,12.5,5.2,4.0,1.5,0.06,0.195,0.18,0.545,0.225,2024-25
Kristaps Porzingis,BOS,29,221.0,109.0,,Latvia,2015,1,4,45,17.0,6.5,1.8,6.0,0.075,0.22,0.215,0.625,0.11,2024-25
Alperen Sengun,HOU,22,213.0,109.0,,Turkey,2021,1,16,73,23.5,10.5,5.5,4.0,0.11,0.275,0.27,0.605,0.29,2024-25
Pascal Siakam,IND,30,206.0,100.0,,Cameroon,2016,1,27,68,19.5,7.5,3.8,3.5,0.07,0.21,0.245,0.575,0.195,2024-25
Nikola Vucevic,CHI,34,213.0,120.0,,Montenegro,2011,1,16,68,16.5,10.2,2.5,-2.0,0.09,0.255,0.215,0.545,0.14,2024-25
Jusuf Nurkic,PHX,30,213.0,120.0,,Bosnia,2014,1,16,50,12.8,10.2,3.2,-2.5,0.115,0.28,0.21,0.545,0.185,2024-25
Deni Avdija,POR,24,206.0,97.0,,Israel,2020,1,9,65,19.5,7.5,4.5,1.5,0.07,0.23,0.215,0.56,0.23,2024-25
Willy Hernangomez,NOP,30,213.0,116.0,,Spain,2016,1,35,42,8.5,7.8,0.8,2.0,0.09,0.24,0.15,0.615,0.05,2024-25
Tristan da Silva,ORL,23,201.0,97.0,,Brazil,2024,1,16,58,9.2,3.8,1.5,0.5,0.045,0.16,0.165,0.545,0.105,2024-25
