player_name,age,player_height,player_weight,gp,pts,reb,ast,net_rating,oreb_pct,dreb_pct,usg_pct,ts_pct,ast_pct,nb_saisons,country,is_french,is_european,continent
A.C. Green,35.0,205.74,102.06,75.8,5.78,6.06,0.86,-1.88,0.09,0.19,0.13,0.49,0.05,5,USA,False,False,Amérique du Nord
A.J. Bramlett,23.0,208.28,102.97,8.0,1.0,2.8,0.0,-32.6,0.16,0.21,0.15,0.19,0.0,1,USA,False,False,Amérique du Nord
A.J. Guyton,24.0,185.42,81.65,26.67,3.8,0.7,1.57,-6.7,0.01,0.04,0.22,0.32,0.28,3,USA,False,False,Amérique du Nord
A.J. Lawson,22.0,198.12,81.19,15.0,3.7,1.4,0.1,-20.1,0.05,0.15,0.19,0.59,0.03,1,Canada,False,False,Amérique du Nord
AJ Green,23.0,195.58,86.18,35.0,4.4,1.3,0.6,-4.9,0.02,0.1,0.16,0.61,0.09,1,USA,False,False,Amérique du Nord
AJ Griffin,19.0,198.12,99.79,72.0,8.9,2.1,1.0,1.5,0.03,0.08,0.17,0.58,0.07,1,USA,False,False,Amérique du Nord
AJ Hammons,24.0,213.36,117.93,22.0,2.2,1.6,0.2,-0.6,0.05,0.2,0.17,0.47,0.04,1,USA,False,False,Amérique du Nord
AJ Price,25.5,187.96,84.82,43.5,5.35,1.33,2.0,-2.23,0.02,0.09,0.21,0.48,0.25,6,USA,False,False,Amérique du Nord
Aaron Brooks,28.1,182.88,73.03,64.5,8.88,1.55,2.76,-3.31,0.02,0.07,0.22,0.52,0.23,10,USA,False,False,Amérique du Nord
Aaron Gordon,23.0,204.61,102.81,66.22,13.2,6.27,2.51,1.0,0.06,0.16,0.2,0.55,0.12,9,USA,False,False,Amérique du Nord
Aaron Gray,26.0,213.36,122.47,45.43,3.24,3.73,0.66,-4.73,0.13,0.23,0.15,0.53,0.09,7,USA,False,False,Amérique du Nord
Aaron Harrison,22.0,198.12,95.25,11.67,2.6,1.33,0.63,-10.17,0.02,0.14,0.14,0.29,0.16,3,USA,False,False,Amérique du Nord
Aaron Holiday,24.0,183.39,83.91,61.6,6.56,1.62,2.16,1.7,0.02,0.08,0.18,0.52,0.17,5,USA,False,False,Amérique du Nord
Aaron Jackson,32.0,190.5,83.01,1.0,8.0,3.0,1.0,-19.8,0.06,0.03,0.15,0.4,0.05,1,USA,False,False,Amérique du Nord
Aaron McKie,29.0,195.58,94.8,60.64,6.27,3.0,2.49,0.67,0.02,0.14,0.14,0.5,0.18,11,USA,False,False,Amérique du Nord
